CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
6,0,4,9,12,5,5,155,1,70,32,NO
9,0,4,5,5,0,4,118,1,50,22,NO
3,0,1,2,2,0,1,20,2,0,4,NO
2,0,0,1,1,0,0,7,2,0,1,NO
0,0,0,14,24,4,9,128,2,0,27,NO
2,1,3,10,10,5,2,162,1,36,38,NO
4,0,3,4,4,1,2,100,2,66,15,NO
3,0,3,7,7,0,6,121,1,71,13,NO
0,0,2,5,5,0,5,61,1,50,12,NO
0,0,2,3,3,0,3,14,1,33,3,NO
0,0,1,8,8,2,6,49,1,37,14,NO
0,0,1,4,4,1,3,19,2,50,5,NO
0,0,0,3,3,1,2,44,2,0,6,NO
14,0,0,1,30,2,27,404,1,91,59,NO
10,0,17,10,10,3,3,240,2,74,35,NO
0,0,6,13,13,0,13,46,1,84,13,NO
0,0,2,7,7,0,6,32,1,42,8,NO
1,0,2,4,4,0,0,27,1,37,7,NO
6,0,15,12,12,5,1,158,1,68,32,NO
0,0,0,0,6,0,0,50,1,0,15,NO
3,0,0,0,2,0,1,27,1,50,6,NO
2,0,0,2,2,1,1,42,2,0,6,NO
2,0,0,3,3,1,2,62,2,0,11,NO
4,0,0,0,18,0,15,203,1,11,20,NO
0,1,3,2,2,0,1,17,1,16,3,NO
0,0,0,1,3,0,1,9,2,0,1,NO
3,0,0,0,21,0,14,435,1,0,111,NO
0,0,0,2,2,0,2,31,2,0,3,NO
1,0,0,5,5,1,4,26,2,0,7,NO
0,0,14,15,24,11,13,731,2,87,97,NO
1,0,0,1,1,0,1,5,2,0,1,NO
0,0,2,7,7,0,7,78,2,68,22,NO
2,0,6,23,24,10,12,303,2,90,76,NO
2,0,2,7,8,0,8,43,2,43,10,NO
2,0,0,10,10,1,9,135,1,76,10,NO
0,0,0,0,10,0,1,169,1,0,38,NO
0,1,0,3,3,0,3,12,2,0,3,NO
0,0,2,4,4,0,4,20,1,25,4,NO
0,0,0,3,3,0,3,11,2,0,3,NO
1,0,1,11,11,0,11,45,1,63,13,NO
1,0,1,6,7,0,7,24,1,14,7,NO
1,0,1,15,15,3,12,120,1,19,37,NO
5,0,2,2,3,0,3,26,1,33,5,NO
5,0,3,10,10,0,10,51,1,60,13,NO
1,0,1,2,2,0,2,10,1,0,2,NO
4,0,0,2,2,0,2,25,1,0,6,NO
6,0,4,12,12,0,12,47,1,75,12,NO
2,0,0,1,8,0,0,6,2,0,1,NO
2,0,4,13,13,0,12,116,1,57,26,NO
15,0,12,16,19,4,15,213,1,81,49,NO
8,0,5,16,20,2,18,152,1,80,39,NO
3,0,0,0,1,0,1,7,1,0,1,NO
4,0,1,4,24,0,1,95,2,25,19,NO
1,0,1,10,10,1,7,184,1,30,45,NO
0,0,1,8,24,0,8,47,3,25,9,NO
5,0,4,8,24,0,8,77,3,65,10,NO
5,0,2,14,32,1,15,100,3,56,24,NO
2,0,2,5,21,0,5,38,3,19,8,NO
6,0,8,14,16,4,11,279,2,87,27,NO
3,0,0,1,1,0,1,22,1,0,6,NO
4,0,1,4,4,1,2,106,2,50,39,NO
3,0,3,8,24,1,7,58,3,58,12,NO
2,0,0,0,5,0,5,166,1,70,30,NO
1,0,4,8,24,0,8,65,3,75,11,NO
1,0,2,8,24,2,5,69,3,56,13,NO
0,0,1,6,6,0,6,22,1,66,7,NO
0,0,0,5,5,0,5,16,1,0,5,NO
0,0,2,9,25,0,9,66,3,33,12,NO
20,0,7,18,19,12,6,268,1,86,46,NO
24,0,3,36,36,14,20,596,1,90,38,NO
5,17,0,3,3,0,3,49,1,0,11,NO
1,0,1,4,21,0,4,25,2,19,6,NO
4,0,5,6,22,1,5,109,3,56,13,NO
2,1,4,8,8,0,6,44,1,71,10,NO
