CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ADDED,DELETED,MODIFIED,TOTAL CHANGE,ALTER
4,0,30,6,34,12,19,189,1,78,24,8,0,0,8,YES
6,0,5,2,5,0,5,133,1,50,20,21,4,1,26,YES
7,0,0,0,60,55,5,2124,1,0,355,73,129,20,222,YES
21,0,6,0,15,1,14,145,1,85,17,0,0,10,10,YES
10,0,13,6,13,7,6,721,1,91,27,8,0,1,9,YES
15,0,33,10,33,8,25,321,1,90,70,3,0,0,3,YES
50,0,42,0,67,16,51,1535,1,93,294,10,2,0,12,YES
11,0,10,2,10,2,8,184,1,60,37,10,2,1,13,YES
0,0,0,0,8,0,8,68,1,25,18,0,0,1,1,YES
12,0,16,22,17,2,15,404,1,89,66,447,22,37,506,YES
4,0,15,23,15,1,14,266,2,77,32,8,5,15,28,YES
5,0,12,7,12,0,11,139,2,76,26,14,0,3,17,YES
9,0,2,7,2,1,1,103,2,25,9,34,10,18,62,YES
10,0,15,2,15,0,14,242,2,80,55,0,13,3,16,YES
22,0,26,6,26,14,11,558,2,85,118,3,0,0,3,YES
34,0,3,2,41,8,33,1085,1,94,175,131,23,29,183,YES
4,0,6,1,7,0,6,123,2,57,22,1,0,0,1,YES
2,0,0,0,1,0,1,24,1,0,3,4,0,2,6,YES
20,0,12,18,13,0,11,353,2,88,21,10,0,0,10,YES
5,0,1,20,1,0,1,217,1,0,52,4,0,0,4,YES
11,0,0,0,7,4,3,203,1,61,42,3,0,10,13,YES
0,0,0,0,4,0,4,20,1,0,4,4,0,0,4,YES
8,0,0,0,13,4,9,726,1,64,89,18,0,0,18,YES
11,0,0,0,7,4,3,239,1,61,50,8,0,14,22,YES
20,0,10,40,10,0,10,648,2,73,37,7,0,0,7,YES
23,0,16,12,16,11,5,479,2,90,61,125,7,13,145,YES
22,0,10,42,23,1,9,601,3,79,38,1,0,1,2,YES
