CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
22,10,13,26,237,1,73,no
2,0,5,18,40,0,40,no
4,0,11,24,71,0,27,no
2,2,3,16,15,0,0,no
3,0,1,14,7,0,0,no
2,0,3,16,16,1,0,no
21,5,25,38,219,1,84,yes
3,0,6,19,57,0,83,yes
14,0,12,25,144,0,0,yes
9,0,4,17,36,1,0,yes
20,3,58,71,444,0,92,yes
7,0,12,25,88,1,51,no
1,0,1,45,8,0,0,no
6,0,3,41,27,2,33,no
1,0,3,47,17,0,0,no
20,0,2,15,87,1,50,yes
10,0,4,17,28,0,0,no
6,0,15,28,107,0,93,no
4,0,1,14,18,1,0,no
1,0,14,27,62,0,85,no
7,0,3,16,54,1,0,no
1,0,14,27,83,0,86,no
8,0,3,16,29,0,33,yes
1,0,3,47,17,0,0,no
5,0,3,41,23,2,33,no
16,0,2,15,67,1,50,no
1,0,9,58,63,0,57,no
3,2,5,49,30,0,0,no
13,0,5,37,107,1,68,no
2,0,2,19,12,2,0,no
1,1,1,19,9,1,0,no
3,0,4,53,24,1,0,no
4,0,2,22,14,1,0,no
12,0,5,18,58,0,80,yes
6,0,14,27,160,0,83,no
1,0,9,22,44,0,72,no
11,1,26,39,158,1,86,no
10,0,9,22,69,0,66,no
6,0,11,24,70,0,81,yes
8,0,7,20,62,0,71,no
8,0,6,19,44,0,83,no
10,0,11,24,290,0,72,yes
3,0,14,28,72,0,35,no
9,0,29,42,111,0,86,no
12,3,37,50,270,0,90,no
2,0,1,14,29,1,0,no
2,0,2,52,13,1,0,no
14,3,14,28,175,0,64,yes
7,0,13,41,73,1,61,no
28,0,12,25,436,1,79,yes
4,0,12,40,73,1,75,yes
8,0,4,17,61,0,0,yes
1,0,4,52,27,0,25,no
13,0,13,26,110,1,65,no
4,0,3,42,20,2,0,no
0,0,1,14,11,0,0,no
2,0,2,41,13,0,0,no
2,0,2,41,13,0,0,no
1,0,2,46,13,0,0,no
1,0,2,46,13,0,0,no
1,0,2,46,13,0,0,no
3,0,12,40,56,1,25,no
9,3,18,62,262,0,87,no
4,0,6,68,46,1,50,no
4,3,6,68,33,1,0,no
5,0,1,14,32,1,0,yes
11,0,35,48,195,0,93,yes
13,0,33,46,208,0,89,yes
20,0,12,50,178,2,45,yes
2,0,2,70,15,2,0,no
5,0,15,28,103,0,42,yes
0,0,0,25,5,1,0,no
55,1,18,31,451,0,91,yes
5,0,1,14,13,0,33,no
9,0,2,15,47,0,0,yes
11,0,5,43,66,2,50,no
7,0,2,15,39,0,0,yes
2,2,2,15,71,0,0,no
7,0,7,20,55,0,0,yes
3,0,2,15,24,1,0,no
5,0,7,22,61,1,14,yes
2,0,2,20,12,1,0,no
6,0,5,18,44,0,0,yes
3,0,1,14,16,1,0,no
8,1,5,18,47,0,0,yes
2,0,4,17,34,0,0,no
5,0,6,19,49,0,0,yes
3,0,2,15,24,1,0,no
2,0,5,20,39,1,19,no
