CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
1,0,4,53,15,0,100,no
10,0,12,391,74,2,66,no
25,2,181,194,225,0,98,no
4,0,1,14,47,0,66,no
34,0,40,53,1049,0,0,no
0,0,0,13,2,0,0,no
23,1,176,370,800,1,0,no
3,0,4,17,66,0,0,no
5,0,11,390,46,2,9,no
7,0,7,20,86,0,0,no
4,1,8,21,43,0,65,no
5,0,3,24,16,1,33,no
22,0,29,42,334,0,67,no
7,0,10,23,41,0,70,no
1,0,4,53,14,0,100,no
3,0,1,33,23,1,0,no
4,0,1,14,7,0,0,no
5,0,7,39,31,1,0,no
9,1,13,45,71,1,84,no
12,0,12,44,87,1,66,no
1,0,1,14,6,0,0,no
7,0,11,43,58,1,0,no
12,0,7,20,165,0,0,no
1,0,2,15,8,0,50,no
2,0,2,88,10,0,25,no
14,0,12,25,225,0,70,no
5,0,3,32,12,1,0,no
8,0,10,39,49,1,9,no
14,0,4,17,139,0,37,no
13,0,13,26,101,0,92,no
7,0,5,50,32,2,60,no
1,1,4,53,15,0,100,no
6,0,3,40,24,2,0,no
3,1,5,37,22,1,0,no
29,0,3,16,89,0,66,no
5,0,3,23,16,1,33,no
4,0,2,22,11,1,0,no
7,0,9,22,75,0,76,no
1,0,2,15,10,0,0,no
3,0,7,20,29,0,0,no
2,6,29,42,150,0,91,no
4,0,4,17,27,0,50,no
6,0,2,15,109,0,0,no
7,0,10,23,73,0,19,no
7,0,8,21,26,0,25,no
5,0,11,24,48,0,50,no
1,0,1,14,4,0,0,no
2,0,2,15,12,0,75,no
7,0,4,17,62,0,66,no
7,0,4,17,36,0,50,no
3,0,2,15,7,0,0,no
10,1,7,20,68,0,71,no
1,0,4,53,15,0,100,no
1,0,4,53,13,0,100,no
3,0,8,68,26,1,100,no
11,3,12,60,64,0,58,no
5,3,8,21,31,0,12,no
3,0,8,68,26,1,100,no
3,0,8,68,26,1,100,no
2,0,3,16,25,0,58,no
12,0,7,27,96,1,52,no
21,0,5,18,60,0,46,no
12,0,5,755,57,0,76,no
29,0,14,738,192,0,89,no
4,0,1,34,6,0,100,no
11,0,1,34,23,0,100,no
5,0,1,34,11,0,100,no
4,0,1,34,8,0,100,no
6,0,4,24,50,1,0,no
16,0,3,16,31,0,66,no
4,0,2,15,16,0,0,no
3,0,2,15,20,0,0,no
16,2,7,20,109,0,78,no
12,0,6,26,73,1,0,no
23,0,10,30,154,1,83,no
5,0,4,24,20,1,50,no
9,1,6,26,29,1,33,no
15,0,2,15,27,0,50,no
11,0,3,16,71,0,66,no
26,0,7,20,109,0,71,no
7,0,3,23,19,1,66,no
3,0,3,16,13,0,0,no
8,0,7,26,50,0,80,no
11,0,9,29,66,0,85,no
14,0,1,14,11,0,0,no
9,0,3,23,25,1,0,no
4,0,5,18,29,0,0,no
17,0,1,14,16,0,0,no
4,0,1,14,14,0,0,no
7,0,1,21,14,1,0,no
7,0,3,16,24,1,0,no
4,0,2,15,38,0,25,no
1,0,5,49,28,0,68,no
1,0,6,19,48,0,0,no
3,0,2,15,43,0,0,no
9,0,1,30,18,1,0,no
11,0,2,15,38,1,0,no
31,0,12,736,221,0,80,no
18,0,9,29,55,1,64,no
3,0,2,701,20,0,33,no
8,0,3,16,19,0,33,no
5,0,1,22,14,2,0,no
5,0,2,15,13,0,0,no
12,0,2,23,40,2,50,no
9,0,2,16,20,1,0,no
0,0,4,17,19,0,50,no
1,0,3,16,14,0,33,no
12,0,1,14,11,0,0,no
13,0,5,25,44,1,73,no
14,0,1,14,13,0,0,no
21,0,1,14,23,0,0,no
17,0,7,27,55,1,78,no
14,0,1,14,16,0,0,no
7,0,4,24,23,1,0,no
7,2,3,23,31,1,55,no
18,0,7,29,73,2,60,no
8,0,2,25,30,2,16,no
13,0,1,14,17,0,0,no
0,0,0,23,2,2,0,no
23,0,2,15,101,0,50,no
25,0,2,15,45,0,50,no
6,0,6,28,43,2,33,no
14,0,1,14,14,0,0,no
5,0,2,22,14,1,0,no
20,0,1,14,47,0,0,no
7,0,5,25,38,1,60,no
7,2,4,17,36,0,66,no
5,2,3,16,16,0,33,no
8,0,3,20,17,1,0,no
6,0,3,19,11,1,0,no
0,0,1,14,15,0,100,no
8,0,3,20,35,1,66,no
6,0,3,19,16,1,0,no
7,0,1,26,12,1,0,no
0,3,2,15,8,0,0,no
2,1,4,19,16,1,62,no
2,1,6,21,26,1,66,no
14,0,1,14,23,0,0,no
19,0,15,28,96,0,97,no
1,10,1,14,3,0,0,no
22,0,3,33,58,1,0,no
2,0,2,57,12,2,50,no
2,0,1,15,7,1,0,no
2,0,1,15,7,1,0,no
2,0,1,15,7,1,0,no
