CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Added,Deleted,Modified,Total Change,ALTER
1,0,5,3,5,0,5,29,1,60,5,0,0,0,0,NO
0,0,0,0,10,0,0,3,3,0,0,0,0,0,0,NO
1,0,8,5,8,0,8,43,1,70,8,0,0,0,0,NO
2,8,21,0,21,2,2,792,1,0,5,0,0,0,0,NO
13,0,23,8,23,15,8,292,1,83,44,7,64,4,75,YES
9,0,22,10,22,11,11,278,1,82,44,33,71,9,113,YES
5,0,5,1,7,3,2,60,2,60,10,2,29,8,39,YES
28,0,29,2,29,16,13,665,1,70,113,197,34,10,241,YES
23,0,12,5,14,10,2,289,2,73,41,7,23,5,35,YES
0,0,3,2,3,0,3,18,1,33,3,0,0,0,0,NO
1,0,0,0,7,0,7,191,1,0,28,1,0,0,1,YES
0,0,18,0,39,0,1,766,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,780,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,784,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,790,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,811,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,813,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,823,2,0,18,0,0,0,0,NO
0,0,18,0,39,0,1,832,2,0,18,0,0,0,0,NO
4,3,16,2,16,0,16,123,1,81,26,0,1,1,2,YES
1,0,1,0,17,0,1,86,2,0,20,0,0,0,0,NO
2,0,2,1,2,0,2,25,1,0,4,0,0,0,0,NO
0,0,7,4,7,1,6,64,1,57,12,0,0,0,0,NO
4,0,2,0,18,0,2,119,2,0,26,1,0,1,2,YES
1,0,3,2,3,0,3,18,1,33,3,0,0,0,0,NO
4,0,2,0,18,1,1,77,2,0,14,0,0,0,0,NO
1,0,5,2,5,0,5,26,1,30,5,0,0,0,0,NO
2,0,1,0,1,0,1,25,2,0,4,0,0,0,0,NO
4,0,13,6,13,0,13,122,1,78,20,0,0,0,0,NO
6,2,3,0,3,0,1,57,1,0,6,1,0,6,7,YES
0,0,3,0,3,2,1,84,1,0,15,0,0,0,0,NO
1,0,0,0,0,0,0,491,1,0,0,0,0,0,0,NO
0,0,0,0,1,0,1,7,1,0,2,0,0,0,0,NO
1,0,3,1,3,0,3,16,1,0,3,0,0,0,0,NO
0,0,0,0,4,0,4,107,1,0,16,0,0,0,0,NO
0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,NO
4,0,1,1,22,1,21,312,1,95,50,0,0,2,2,YES
3,0,3,4,3,0,3,34,1,25,5,1,9,1,11,YES
3,0,5,4,5,1,4,49,1,35,8,1,8,3,12,YES
1,0,0,0,2,0,2,24,1,0,4,0,0,0,0,NO
16,0,0,0,6,1,5,236,1,0,34,22,0,0,22,YES
0,0,0,0,6,0,6,62,1,0,16,0,0,0,0,NO
0,0,10,1,10,0,10,75,2,40,18,0,0,0,0,NO
1,0,0,0,3,1,2,77,1,0,13,0,0,0,0,NO
0,0,2,1,8,0,1,12,2,0,2,0,0,0,0,NO
1,0,0,0,2,0,2,532,1,0,4,15,1,0,16,YES
1,0,0,0,2,0,2,531,1,0,4,12,1,0,13,YES
1,0,0,0,2,0,2,38,1,0,3,0,0,0,0,NO
1,0,0,0,2,0,2,575,1,0,4,15,1,0,16,YES
1,0,0,0,2,0,2,572,1,0,4,16,1,1,18,YES
1,0,0,0,2,0,2,919,1,0,4,15,1,0,16,YES
1,0,0,0,3,0,3,984,1,0,7,16,1,1,18,YES
0,1,4,1,4,0,3,44,2,25,8,0,0,0,0,NO
0,0,0,0,13,0,13,111,1,0,29,0,0,0,0,NO
1,0,0,0,0,0,0,16,1,0,0,203,0,0,203,YES
0,1,2,1,8,0,1,12,2,0,2,0,0,0,0,NO
1,0,0,0,0,0,0,407,1,0,0,0,0,0,0,NO
0,0,0,0,3,2,1,34,1,0,6,0,0,0,0,NO
5,0,1,0,1,0,1,75,1,0,10,1,1,4,6,YES
0,0,0,0,2,0,2,29,1,0,6,0,13,0,13,YES
1,0,0,0,0,0,0,511,1,0,0,150,0,1,151,YES
0,2,6,5,6,0,4,130,1,68,18,0,0,0,0,NO
43,0,17,6,19,15,2,349,2,84,48,16,34,3,53,YES
7,0,0,0,28,0,28,240,1,0,36,1,3,0,4,YES
0,0,2,0,2,0,2,13,2,0,4,0,0,0,0,NO
0,0,8,4,8,0,8,39,1,75,8,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
1,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
2,0,2,0,2,0,2,11,2,0,2,0,0,0,0,NO
0,0,1,1,1,0,1,61,1,0,2,0,0,0,0,NO
11,0,28,14,28,0,28,1805,1,92,28,0,0,0,0,NO
0,0,1,1,1,0,1,12,1,0,2,0,0,0,0,NO
44,0,45,0,45,0,45,184,1,0,45,0,0,0,0,NO
0,0,1,1,1,0,1,297,1,0,2,0,0,0,0,NO
2,0,4,2,4,0,4,46,1,50,4,0,0,0,0,NO
1,0,10,5,10,0,10,48,1,80,10,0,0,0,0,NO
2,0,16,8,16,0,16,125,1,87,16,0,0,0,0,NO
2,0,2,0,2,0,2,31,2,0,6,1,0,0,1,YES
4,0,10,6,10,1,9,60,1,61,10,7,6,8,21,YES
4,0,7,6,7,0,7,42,1,69,7,15,0,1,16,YES
5,0,9,4,9,0,8,57,1,69,12,1,7,0,8,YES
0,0,14,7,24,0,14,66,3,85,14,0,0,0,0,NO
1,0,6,4,6,0,6,34,1,50,6,0,0,0,0,NO
1,0,11,5,11,0,11,74,1,72,13,0,0,0,0,NO
0,0,0,0,10,0,0,3,3,0,0,0,0,0,0,NO
1,0,8,2,8,0,8,53,1,25,10,0,0,0,0,NO
3,0,10,2,16,2,14,270,1,50,51,0,0,0,0,NO
6,0,13,1,13,0,13,129,1,7,37,0,0,2,2,YES
1,0,2,1,2,0,2,12,1,0,2,0,0,0,0,NO
0,0,9,4,9,0,9,43,1,66,9,0,0,0,0,NO
1,0,3,3,3,0,1,49,1,11,6,0,0,0,0,NO
1,0,2,1,2,0,2,12,1,0,2,0,0,0,0,NO
0,0,11,5,11,0,11,52,1,72,11,0,0,0,0,NO
1,0,3,3,3,0,1,52,1,11,6,0,0,0,0,NO
5,0,4,1,4,0,2,200,1,0,16,0,0,2,2,YES
0,0,51,25,51,0,51,232,1,94,51,0,0,0,0,NO
3,0,1,0,1,0,1,119,2,0,1,0,0,0,0,NO
0,0,3,1,3,0,3,26,2,0,3,0,0,0,0,NO
0,0,6,2,6,0,6,65,2,58,7,0,0,0,0,NO
1,0,7,2,7,0,6,83,2,50,7,0,0,0,0,NO
3,0,2,1,3,1,2,63,1,66,3,0,0,0,0,NO
6,0,1,6,1,0,1,41,2,0,1,0,0,0,0,NO
0,17,4,1,4,0,4,22,2,50,4,0,0,0,0,NO
2,0,8,1,8,6,2,132,1,75,25,0,0,1,1,YES
0,0,5,2,5,0,5,25,1,40,5,0,0,0,0,NO
3,0,1,3,1,0,1,15,2,0,1,0,0,0,0,NO
1,0,1,0,1,0,1,16,2,0,1,0,0,0,0,NO
2,0,2,1,2,0,2,26,1,0,3,0,0,2,2,YES
0,0,11,2,11,2,9,101,1,77,20,0,0,0,0,NO
1,0,2,0,2,0,2,16,2,0,3,0,0,0,0,NO
6,0,2,1,3,1,2,88,1,66,3,100,0,4,104,YES
3,0,2,4,2,0,2,50,2,37,3,1,0,1,2,YES
29,0,18,4,19,16,3,359,1,94,37,0,5,2,7,YES
1,0,1,0,1,0,1,7,2,0,1,0,0,0,0,NO
1,0,1,0,1,0,1,7,2,0,1,0,0,0,0,NO
7,16,9,4,9,1,5,70,1,62,11,0,0,0,0,NO
2,0,3,1,12,0,0,45,2,33,7,0,0,0,0,NO
2,0,6,6,6,0,6,61,1,58,7,0,0,0,0,NO
2,0,3,1,12,0,0,47,2,33,7,0,0,0,0,NO
2,0,3,0,12,0,0,28,2,0,5,0,0,0,0,NO
3,0,3,0,12,0,0,50,2,0,9,0,0,0,0,NO
1,0,3,0,12,0,0,27,2,0,5,0,0,0,0,NO
2,0,4,1,13,0,1,39,2,50,7,0,0,0,0,NO
3,0,3,1,12,0,0,43,2,33,7,0,0,0,0,NO
24,0,24,12,26,17,7,462,1,88,63,3,18,4,25,YES
22,0,10,4,10,6,4,522,1,57,39,6,41,4,51,YES
6,0,7,3,7,1,6,51,1,66,9,0,0,0,0,NO
3,0,0,0,12,0,12,210,1,0,37,0,0,0,0,NO
1,0,3,2,3,0,3,35,1,33,4,0,0,0,0,NO
2,0,3,0,12,0,0,28,2,0,5,0,0,0,0,NO
2,0,3,0,12,0,0,28,2,0,5,0,0,0,0,NO
6,0,14,2,14,0,14,103,1,78,22,1,2,0,3,YES
2,0,3,0,12,0,0,28,2,0,5,0,0,0,0,NO
2,0,3,0,12,0,0,31,2,0,5,0,0,0,0,NO
1,0,3,0,12,0,0,23,2,0,4,0,0,0,0,NO
2,0,3,0,12,0,0,28,2,0,5,0,0,0,0,NO
1,0,3,0,12,0,0,51,2,0,7,0,0,0,0,NO
1,0,3,2,3,0,3,34,1,33,5,0,0,0,0,NO
3,0,3,0,12,0,0,39,2,0,6,0,0,0,0,NO
0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,NO
