CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,Change
5,0,3,16,44,0,0,yes
9,0,10,23,309,70,1,yes
31,1,4,17,154,58,1,yes
2,0,3,16,15,33,1,no
27,0,23,36,544,78,0,yes
3,0,3,16,22,33,1,no
3,0,2,15,17,16,0,no
3,0,2,15,11,0,0,yes
26,1,3,16,109,25,1,yes
4,0,1,14,6,0,1,no
7,0,3,16,95,50,1,no
7,0,2,15,21,0,1,no
7,0,3,16,26,0,1,no
5,0,2,15,8,0,1,no
5,0,3,16,13,0,1,no
8,0,7,20,96,66,0,no
17,1,12,25,154,80,0,yes
6,0,1,26,10,0,1,no
0,0,1,14,4,0,1,no
2,0,1,14,5,0,1,no
1,0,1,14,4,0,1,no
11,0,4,17,45,37,0,no
3,0,1,14,5,0,0,no
15,0,5,18,84,64,0,no
8,0,3,16,26,16,0,no
33,0,10,23,181,72,0,no
2,0,6,19,28,41,0,no
4,0,3,16,20,50,0,no
13,0,10,41,283,64,0,no
14,0,8,21,94,58,0,no
12,0,8,27,82,75,1,no
40,0,6,19,198,70,0,yes
4,0,4,17,19,41,0,no
10,1,6,19,54,72,0,no
4,0,2,15,26,50,0,no
2,0,5,18,18,60,0,no
9,0,4,17,28,50,0,no
19,0,2,15,62,0,0,no
24,0,4,17,186,66,0,no
4,0,5,18,21,0,0,yes
4,0,5,18,22,0,0,yes
33,0,2,15,195,0,0,yes
7,0,2,137,12,0,3,no
19,0,11,69,66,80,2,yes
74,0,4,17,406,62,0,no
10,0,6,22,25,66,1,no
8,0,6,19,32,33,0,yes
7,0,2,15,32,0,0,no
3,0,2,15,10,50,0,no
98,5,67,135,975,92,2,yes
4,0,4,17,20,0,0,no
9,0,6,19,46,66,0,no
23,0,6,19,383,91,0,yes
27,2,3,16,80,33,0,yes
41,0,9,25,146,44,1,yes
2,0,3,16,14,33,0,no
24,0,7,23,78,21,1,yes
25,0,3,16,165,0,0,no
5,0,7,20,60,67,0,no
4,0,5,18,22,80,0,yes
17,0,3,16,102,0,0,yes
16,0,10,86,66,80,2,yes
29,0,12,81,131,0,2,no
1,0,1,14,8,0,0,no
23,0,8,104,62,70,3,yes
49,0,9,22,1105,84,0,yes
14,0,6,82,52,38,3,yes
12,0,5,18,40,46,0,yes
25,0,8,21,148,72,0,yes
25,0,18,31,181,72,0,yes
21,0,5,18,41,0,0,no
17,0,9,85,79,72,2,yes
5,0,3,22,12,33,1,no
17,1,6,19,46,58,0,yes
36,0,20,33,177,74,0,yes
11,0,7,83,72,71,2,yes
25,0,3,72,83,0,2,no
9,0,2,15,66,100,0,yes
12,0,4,78,29,50,2,no
20,0,7,76,75,0,2,yes
16,2,3,16,52,33,0,yes
26,0,2,15,62,0,0,no
3,0,2,15,12,75,0,yes
8,0,3,16,152,66,0,yes
15,0,2,15,50,0,0,yes
56,0,12,25,413,91,0,yes
9,0,3,33,27,33,2,yes
31,0,9,144,101,75,3,no
66,0,7,20,286,65,0,yes
44,0,88,157,1269,0,2,yes
15,0,33,102,355,0,2,yes
28,0,43,112,464,100,2,no
11,0,9,22,72,76,0,yes
16,0,26,39,367,90,0,yes
12,0,4,17,59,0,0,yes
9,0,5,18,463,65,0,yes
12,0,6,75,70,0,2,no
20,0,6,19,158,66,0,no
9,0,3,24,30,22,1,yes
30,0,33,46,154,92,0,yes
21,0,6,75,50,0,2,yes
23,0,7,103,109,57,3,yes
12,0,4,17,27,0,0,no
32,0,14,110,430,57,3,yes
9,0,5,81,44,46,3,no
20,0,12,88,103,77,2,no
26,0,8,104,174,75,3,yes
9,0,3,72,55,0,2,yes
27,0,13,148,140,73,3,yes
3,0,5,18,22,53,0,yes
87,0,7,20,663,71,0,no
12,0,5,21,26,60,1,yes
13,0,5,140,28,40,3,no
18,0,4,73,68,0,2,no
37,0,6,19,166,100,0,yes
2,0,2,15,21,25,0,no
7,0,2,78,15,0,3,no
14,0,4,139,35,75,3,yes
43,0,47,116,799,0,2,yes
38,0,4,17,984,87,0,yes
45,0,31,89,720,79,2,yes
9,0,4,17,29,50,0,yes
13,0,9,22,96,75,0,yes
4,0,3,16,15,33,0,no
16,0,4,17,104,43,0,yes
7,0,7,20,27,71,0,no
10,0,5,63,30,60,2,yes
39,0,104,173,1446,0,2,yes
4,5,7,20,30,0,0,no
9,3,7,20,109,98,1,yes
3,1,11,24,40,0,0,no
2,0,3,16,6764,98,0,no
11,0,34,47,401,90,1,no
8,0,31,44,290,90,1,no
8,0,31,44,290,90,1,no
8,0,39,52,565,91,1,no
8,0,31,44,290,90,1,no
11,0,34,47,401,90,1,no
11,0,34,47,401,90,1,no
12,0,39,52,588,91,1,no
8,0,41,54,630,92,1,no
8,0,31,44,290,90,1,no
8,0,33,46,361,90,1,no
16,0,45,58,809,92,1,no
14,0,49,62,389,81,1,no
20,3,19,32,658,0,0,no
15,0,10,23,96,0,0,no
15,0,11,43,134,0,1,no
11,0,34,47,401,90,1,no
1,0,3,16,4450,96,0,yes
9,0,54,67,1039,93,1,yes
6,0,62,75,460,87,1,yes
17,0,88,101,2503,95,1,yes
11,0,42,55,646,92,1,yes
1,0,3,16,472,93,0,no
9,0,34,47,422,91,1,no
6,0,22,35,159,65,1,no
2,0,3,16,2781,97,0,no
15,0,41,54,747,91,1,no
8,0,33,46,361,90,1,no
8,0,37,50,494,91,1,no
5,0,28,41,187,76,1,no
8,0,35,48,425,91,1,no
8,0,33,46,361,90,1,no
11,3,12,25,252,0,0,no
6,0,3,16,26,0,0,no
6,0,4,29,36,0,1,no
1,0,3,16,1043,95,0,no
8,0,35,48,418,91,1,no
5,0,24,37,153,75,1,no
8,0,33,46,361,90,1,no
9,2,11,24,194,0,0,no
4,0,2,15,16,0,0,no
4,0,3,27,22,0,1,no
40,0,7,27,392,78,2,yes
6,0,2,15,14,100,0,yes
21,0,5,18,98,40,0,no
