CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
4,0,4,1,136,0,4,21,2,75,5,YES
6,0,0,0,2,0,2,21,1,0,10,YES
6,0,2,0,3,1,2,26,1,0,8,NO
5,0,2,0,3,1,2,24,1,0,8,NO
10,0,2,0,3,1,2,52,1,0,12,NO
3,0,2,0,2,0,2,13,1,0,3,NO
4,0,2,0,2,0,2,28,1,0,8,NO
2,0,1,0,5,0,0,6,2,0,1,NO
2,0,1,0,4,0,0,6,2,0,1,NO
7,0,2,0,2,0,2,50,1,0,13,NO
5,0,2,0,2,0,2,8,1,0,2,NO
4,0,2,0,2,0,2,15,1,0,4,NO
2,0,1,0,5,0,0,6,2,0,1,NO
6,0,2,0,2,0,2,20,1,0,6,NO
4,0,2,0,6,0,0,14,2,0,4,NO
2,0,1,0,4,0,0,6,2,0,1,NO
7,0,2,0,2,0,2,50,1,0,13,NO
8,0,2,0,2,0,2,54,1,0,16,NO
2,0,1,0,5,0,0,6,2,0,1,NO
2,0,1,0,4,0,0,6,2,0,1,NO
8,0,2,0,2,0,2,48,1,0,13,NO
2,0,1,0,5,0,0,6,2,0,1,NO
2,0,1,0,4,0,0,6,2,0,1,NO
6,0,2,0,2,0,2,39,1,0,10,NO
2,0,1,0,5,0,0,6,2,0,1,NO
2,0,1,0,4,0,0,6,2,0,1,NO
10,0,2,0,2,0,2,54,1,0,15,NO
4,0,2,0,2,0,2,12,1,0,3,NO
7,0,2,0,2,0,2,54,1,0,15,NO
8,0,2,0,2,0,2,64,1,0,19,NO
2,0,2,0,2,0,2,18,1,0,4,NO
2,0,3,0,135,0,3,13,2,0,3,NO
1,0,3,2,14,0,3,16,2,33,3,NO
9,3,5,1,6,0,1,30,1,50,8,NO
0,11,7,0,7,0,7,24,1,0,7,NO
17,8,10,2,10,2,1,149,1,80,34,YES
11,0,4,3,5,0,5,36,1,60,7,NO
1,0,8,0,8,0,8,51,1,100,14,NO
22,0,28,1,28,26,2,750,1,17,199,NO
6,0,0,0,4,0,4,61,1,0,17,YES
12,0,6,0,16,1,3,159,2,0,28,NO
15,0,1,0,11,0,1,76,2,0,10,NO
4,0,18,7,18,0,18,82,1,87,23,NO
11,0,0,0,6,1,5,29,1,0,7,NO
118,2,131,29,132,49,60,2114,1,96,460,YES
5,0,1,0,1,0,1,12,1,0,3,NO
6,0,0,0,9,0,9,96,1,55,14,NO
17,0,8,0,17,0,7,85,2,0,22,NO
15,0,0,0,8,1,7,91,1,0,23,NO
3,6,8,3,8,1,3,40,1,75,11,NO
2,0,4,2,4,0,4,23,1,0,6,NO
14,0,1,0,11,0,1,79,2,0,13,NO
14,0,1,0,11,0,1,70,2,0,9,NO
16,0,1,0,12,1,1,82,2,0,14,NO
13,0,1,0,11,0,1,55,2,0,9,NO
17,0,2,0,12,0,2,131,2,0,15,NO
15,0,1,0,11,0,1,73,2,0,12,NO
12,0,14,4,20,1,1,99,2,62,28,NO
10,2,9,3,17,1,5,55,2,70,13,NO
10,0,5,3,5,3,2,100,1,46,28,YES
1,0,2,0,8,0,2,9,2,0,2,NO
7,0,6,0,6,3,3,42,1,83,11,NO
10,0,2,0,2,0,2,38,1,0,8,NO
9,0,6,2,14,0,6,37,2,50,7,NO
16,0,19,6,25,2,0,153,2,77,42,NO
15,3,12,3,20,0,10,90,2,69,25,NO
3,0,1,0,1,0,1,8,1,0,1,NO
